Comunidade;Latitude;Longitude
Açaizal;;
Agapito;-1,732961;-54,006338
Airi;-1,97603;-54,105504
Arapari;;
Bacabalzinho;-2,008514;-54,353834
Baixão;;
Boa Esperança;;
Canp;-1,944857;-54,215087
Cauçú A;-1,939322;-54,315598
Cauçú B;;
Centro Grande;-2,039829;-54,401093
Cujubim;;
Curral Grande;;
Cuçarú;-2,118575;-54,202063
Fartura;-1,753898;-54,282701
Flexal;;
Jacarecapá;-2,201695;-54,378883
Jaquara;;
Jurunduba;-1,99216;-54,042543
Km 11;-1,605924;-54,090645
Km 35;-1,578774;-54,280562
Limão;-1,617951;-53,961326
Mata Alta;;
Miri;-2,152835;-54,371482
Mulata;-1,731911;-54,004025
Murumurú;-1,990418;-54,391077
Nazare;-2,082087;-54,257746
Nova Altamira;;
Pariçó;-2,001079;-54,03604
Passagem;;
Peafú;-1,957668;-54,030799
São Diogo;-2,118124;-54,222471
São Felipe;-1,972133;-54,229466
São Tomé;;
Sapucaia;-1,932547;-53,95794
Saudade;;
Serra Azul;-1,24528;-54,158879
Setor 04;;
Seis Unidos;;
Suá Suá;;
Três Bocas;;
Umarizal;;
Vicinal-B;-1,91054;-54,230127
Região das Pedras;;
Alto Grande;-1,962281;-54,078467
Piracaba;;
Setor 9;;
Vai-Quem-Quer;-1,995107;-54,47738
Santos;;
Ererê;-2,000551;-54,178175
