Bairro;Latitude;Longitude
Surubeju;-2,009276;-54,084656
Turu;-2,009005;-54,080958
Portelinha;-1,999358;-54,084870
Serra Oriental;-2,006284;-54,067189
Curaxi;-2,001406;-54,065687
Curintanfa;-2,005498;-54,063092
Papagaio;-2,007900;-54,066311
Serra Ocidental;-2,006142;-54,080604
Terra Amarela;-2,002067;-54,080409
Pajuçara;-1,990830;-54,066161
Planalto;-1,990873;-54,073928
Cidade Baixa;-2,008629;-54,070152
Cidade Alta;-1,999107;-54,071611
Camarazinho;-2,010130;-54,077533
Nova Uniao;-1,978049;-54,075774
Centro;-2,003315;-54,072223
Nova Olinda;-2,003868;-54,084272
